slug,original_url,in_frame,source_file,tile_file,rights
uncoated-paper-stock,https://www.labelmaterials.upm.com/siteassets/images/raf_brand_label_material.jpg,"Close crop of a blank uncoated paper web curling back on itself, soft matte folds on a plain grey seamless. No print, no logo, no die cut.",src/brand-label-material.jpg,tiles/uncoated-paper-stock-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
clear-film-stock,https://www.labelmaterials.upm.com/siteassets/images/upm-raflatac-brand-materials-clear-film.jpg,"A draped sheet of blank transparent film catching backlight, vertical creases, pale highlight behind it. Nothing printed on the film.",src/clear-film.jpg,tiles/clear-film-stock-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
colored-film-stock,https://www.adhesivematerials.upm.com/siteassets/images/upmr-coloured_vinyls.jpg,"A fan of blank colored film sheets peeling up off a solid background, roughly eight sheets in different colors. Studio shot, no printing on any sheet.",src/coloured-vinyls.jpg,tiles/colored-film-stock-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
face-stock-rolls,https://www.labelmaterials.upm.com/siteassets/images/services/upm-raflatac-face-rolls.jpg,"Two large blank white face stock rolls standing on end on a pale floor, wound edges and core holes visible. No labels, no print.",src/face-rolls.jpg,tiles/face-stock-rolls-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
linerless-rolls,https://www.labelmaterials.upm.com/siteassets/images/upm-raflatac-brand-material-linerless-teaser.jpg,"Five blank white label rolls on metal cores with their tails unwound across a white surface. Blank web, no printed labels.",src/linerless.jpg,tiles/linerless-rolls-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
gloss-film-rolls,https://www.labelmaterials.upm.com/siteassets/images/services/upm-raflatac-services-rolls-glossy.jpg,"Two glossy blank film rolls on dark cores, one large in front and one behind, sitting on a reflective surface. No print.",src/rolls-glossy.jpg,tiles/gloss-film-rolls-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
sheet-stock,https://www.labelmaterials.upm.com/siteassets/images/label-products/sheets/upm-raflatac-sheets-offset.jpg,"A worker in a short sleeve shirt fanning the corner of a stack of blank sheets in a plant, machinery blurred behind. Person and hands are visible, this is the only frame in the set with a human in it. Sheets are blank.",src/sheets-offset.jpg,tiles/sheet-stock-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
opaque-and-foil-backs,https://www.labelmaterials.upm.com/siteassets/images/services/upm-raflatac-tailored-opaque.jpg,"Three curled blank web samples on white, each showing a white face with a different underside, one pale tint, one dark, one metallic. No print.",src/tailored-opaque.jpg,tiles/opaque-and-foil-backs-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
white-film-rolls,https://www.labelmaterials.upm.com/siteassets/images/upm-raflatac-brand-material-white-film-teaser.jpg,"Blank white film wound in nested concentric rings shot down the core, spiral abstract. No print, no visible edge labels.",src/white-film.jpg,tiles/white-film-rolls-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
white-paper-stock,https://www.adhesivematerials.upm.com/siteassets/images/upmr_white-material.jpg,"Overlapping curved sweeps of blank white material layered across the frame, soft abstract, shallow depth of field. No print.",src/white-material.jpg,tiles/white-paper-stock-tile.webp,"UPM Raflatac blank material photography, used as an authorized UPM Raflatac distributor"
